"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment"
"677743","CR-0000086908","0","0","0","1","21-177-0959","False","False","92","6/26/2021 9:03:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"677744","CR-0000086909","0","0","0","0","21-193-4003","False","True","","7/9/2021 12:10:00 PM","No Pedestrians Involved","Unknown","Unknown","Daylight","Unknown","Unknown","Unknown","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","Unknown",""
"677847","CR-0000087012","0","0","0","1","21-190-0738","False","False","0","7/9/2021 5:29:00 PM","Crossing In Crosswalk - At Intersection","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Vehicle/Pedestrian","Intersection","Pedestrian","East","West","At",""
"677863","CR-0000087030","0","1","0","0","21-176-0070","False","False","314","6/25/2021 2:15:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - No Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677864","CR-0000087031","0","0","0","0","21-179-9702","False","True","","6/25/2021 2:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Sideswipe","Related","Other Vehicle","Not Applicable","Not Applicable","West Of",""
"677865","CR-0000087032","2","0","0","0","21-176-0470","False","False","0","6/25/2021 2:04:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677866","CR-0000087033","0","0","0","0","21-176-9705","False","True","51","6/25/2021 2:40:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Rear End","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"677867","CR-0000087034","0","0","0","0","21-176-0176","False","False","20","6/25/2021 7:54:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Head On","Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"677868","CR-0000087035","0","0","0","0","21-176-0014","True","False","22","6/25/2021 12:17:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","West Of","Median"
"677869","CR-0000087036","0","0","0","0","21-176-0061","False","False","110","6/25/2021 1:53:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"677870","CR-0000087037","0","0","0","0","21-179-0564","False","False","174","6/26/2021 8:29:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"677871","CR-0000087038","0","0","0","0","21-177-0191","False","False","388","6/26/2021 4:49:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","South Of",""
"677872","CR-0000087039","1","0","0","0","21-177-0244","False","False","0","6/26/2021 7:41:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677873","CR-0000087040","1","0","0","0","21-177-0371","True","False","302","6/26/2021 11:09:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","South Of","Curb, tree"
"677874","CR-0000087041","0","0","0","0","21-177-0451","False","False","","6/26/2021 12:57:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","East Of",""
"677875","CR-0000087042","2","0","0","0","21-177-0596","False","False","60","6/26/2021 6:45:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677876","CR-0000087043","0","0","0","0","21-177-0847","False","False","27","6/26/2021 9:30:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Sideswipe","Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"677877","CR-0000087044","0","0","1","0","21-177-0500","False","False","51","6/26/2021 2:00:00 PM","In Road - Includes Shoulder","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Vehicle/Pedestrian","Non-Related","Pedestrian","No Direction (Not Walking)","No Direction (Not Walking)","North Of",""
"677878","CR-0000087045","0","0","3","0","21-177-0904","False","False","78","6/26/2021 8:22:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dusk - Dawn","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"677879","CR-0000087046","0","0","0","0","21-177-1169","False","False","58","6/29/2021 11:56:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - No Street Light","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Non-Related","Parked Vehicle","Not Applicable","Not Applicable","West Of",""
"677880","CR-0000087047","0","0","0","0","21-177-1134","False","False","48","6/26/2021 11:25:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Related","Parked Vehicle","Not Applicable","Not Applicable","North Of",""
"677881","CR-0000087048","1","0","0","0","21-178-0827","False","False","0","6/27/2021 9:23:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Head On","Intersection","Motor Vehicle On Other Roadway","Not Applicable","Not Applicable","At",""
"677882","CR-0000087049","2","0","0","0","21-178-0697","False","False","0","6/27/2021 7:06:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677883","CR-0000087050","0","0","0","0","21-178-0812","False","False","0","6/27/2021 9:12:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Sideswipe","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677884","CR-0000087051","1","0","0","0","21-178-0377","False","False","0","6/27/2021 11:26:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677885","CR-0000087052","0","0","0","0","21-178-0015","False","False","0","6/27/2021 12:08:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","No Controls Present/Factor","Clear","Broadside","Intersection","Other Vehicle","Not Applicable","Not Applicable","At",""
"677886","CR-0000087053","1","0","0","0","21-178-0467","False","False","60","6/27/2021 1:39:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
"677887","CR-0000087054","0","0","0","0","21-178-0843","True","False","74","6/27/2021 9:37:00 PM","No Pedestrians Involved","Dry","Construction - Repair Zone","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","East Of","Street light"
"677888","CR-0000087055","0","1","0","0","21-179-0622","True","False","35","6/28/2021 2:13:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Other Than Driver","No Controls Present/Factor","Clear","Hit Object","Related","Fixed Object","Not Applicable","Not Applicable","South Of","Streetlight. Driver had a medical condition that led to the crash."
"677889","CR-0000087056","0","1","0","0","21-179-0921","False","False","260","6/28/2021 7:15:00 PM","In Road - Includes Shoulder","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Vehicle/Pedestrian","Non-Related","Pedestrian","No Direction (Not Walking)","No Direction (Not Walking)","East Of",""
"677890","CR-0000087057","0","1","0","0","21-179-0599","False","False","51","6/28/2021 2:58:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Unknown","Clear","Broadside","Non-Related","Other Vehicle","Not Applicable","Not Applicable","South Of",""
