SUBJECT_ID;Q;Q_EFFICIENT;DELTA_Q;Q_OPTIMAL;DELTA_Q_OPTIMAL;FFS;CAP;MEDICAL_STUDENT;PHYSICIAN;SUBJECT_AGE;FEMALE_SUBJECT;PATIENT_SEVERITY;FEMALE_PATIENT;LIABILITY;LIAB_MEDICALSTUDENT;PHYSICIANS_FAMILY
1;10;3;7;3;7;1;0;0;0;23;0;1;1;0;0;0
1;1;3;-2;3;-2;0;1;0;0;23;0;1;1;0;0;0
1;7;5;2;5;2;1;0;0;0;23;0;2;0;1;0;0
1;7;5;2;7;0;0;1;0;0;23;0;3;0;1;0;0
1;8;3;5;3;5;1;0;0;0;23;0;1;1;1;0;0
1;8;5;3;5;3;0;1;0;0;23;0;2;0;1;0;0
1;2;5;-3;7;-5;0;1;0;0;23;0;3;1;0;0;0
1;6;5;1;7;-1;1;0;0;0;23;0;3;1;0;0;0
1;6;3;3;3;3;0;1;0;0;23;0;1;1;1;0;0
1;7;3;4;3;4;1;0;0;0;23;0;1;0;0;0;0
1;8;5;3;5;3;1;0;0;0;23;0;2;1;1;0;0
1;2;5;-3;5;-3;0;1;0;0;23;0;2;0;0;0;0
1;7;3;4;3;4;1;0;0;0;23;0;1;0;1;0;0
1;3;5;-2;5;-2;1;0;0;0;23;0;2;0;0;0;0
1;3;5;-2;7;-4;0;1;0;0;23;0;3;0;0;0;0
1;7;5;2;7;0;0;1;0;0;23;0;3;1;1;0;0
1;6;3;3;3;3;0;1;0;0;23;0;1;0;1;0;0
1;1;5;-4;5;-4;0;1;0;0;23;0;2;1;0;0;0
1;8;5;3;7;1;1;0;0;0;23;0;3;0;1;0;0
1;6;5;1;7;-1;1;0;0;0;23;0;3;0;0;0;0
1;1;3;-2;3;-2;0;1;0;0;23;0;1;0;0;0;0
1;6;5;1;5;1;0;1;0;0;23;0;2;1;1;0;0
1;7;5;2;5;2;1;0;0;0;23;0;2;1;0;0;0
1;9;5;4;7;2;1;0;0;0;23;0;3;1;1;0;0
2;2;3;-1;3;-1;0;1;0;0;23;1;1;1;0;0;0
2;4;3;1;3;1;1;0;0;0;23;1;1;1;0;0;0
2;8;5;3;5;3;1;0;0;0;23;1;2;0;1;0;0
2;6;5;1;7;-1;0;1;0;0;23;1;3;0;1;0;0
2;6;3;3;3;3;1;0;0;0;23;1;1;1;1;0;0
2;6;5;1;5;1;0;1;0;0;23;1;2;0;1;0;0
2;6;5;1;7;-1;0;1;0;0;23;1;3;1;0;0;0
2;8;5;3;7;1;1;0;0;0;23;1;3;1;0;0;0
2;4;3;1;3;1;0;1;0;0;23;1;1;1;1;0;0
2;5;3;2;3;2;1;0;0;0;23;1;1;0;0;0;0
2;8;5;3;5;3;1;0;0;0;23;1;2;1;1;0;0
2;3;5;-2;5;-2;0;1;0;0;23;1;2;0;0;0;0
2;6;3;3;3;3;1;0;0;0;23;1;1;0;1;0;0
2;5;5;0;5;0;1;0;0;0;23;1;2;0;0;0;0
2;7;5;2;7;0;0;1;0;0;23;1;3;1;1;0;0
2;5;5;0;7;-2;0;1;0;0;23;1;3;0;0;0;0
2;5;3;2;3;2;0;1;0;0;23;1;1;0;1;0;0
2;4;5;-1;5;-1;0;1;0;0;23;1;2;1;0;0;0
2;7;5;2;7;0;1;0;0;0;23;1;3;0;0;0;0
2;9;5;4;7;2;1;0;0;0;23;1;3;0;1;0;0
2;2;3;-1;3;-1;0;1;0;0;23;1;1;0;0;0;0
2;5;5;0;5;0;1;0;0;0;23;1;2;1;0;0;0
2;7;5;2;5;2;0;1;0;0;23;1;2;1;1;0;0
2;10;5;5;7;3;1;0;0;0;23;1;3;1;1;0;0
3;2;3;-1;3;-1;0;1;1;0;27;0;1;1;0;0;0
3;5;3;2;3;2;1;0;1;0;27;0;1;1;0;0;0
3;9;5;4;5;4;1;0;1;0;27;0;2;0;1;1;0
3;8;5;3;7;1;0;1;1;0;27;0;3;0;1;1;0
3;6;3;3;3;3;1;0;1;0;27;0;1;1;1;1;0
3;9;5;4;5;4;0;1;1;0;27;0;2;0;1;1;0
3;6;5;1;7;-1;0;1;1;0;27;0;3;1;0;0;0
